-4.348795452588941e-07,3.459930295109649e-07,-1.920670634603377e-07
-2.011527168524965e-08,-9.891760217282674e-07,1.0761680180385783e-06
2.897278955830913e-06,1.6479684874020248e-06,-1.1096053299853676e-07
1.2702850978562779e-06,-3.189247901833165e-07,-8.844835830479002e-07
5.3077006972249935e-06,3.0645041215732067e-06,-1.684174595935546e-07
3.96639461037072e-06,1.3384572604230844e-06,7.089398119944703e-07
-6.529516872988324e-06,-1.5998591389372093e-05,-7.303843608125318e-07
-3.0964929570573184e-06,-7.833791605759422e-06,1.0037819555538284e-05
-5.474892286756329e-06,9.949678255426058e-07,-3.8117299328694265e-07
-5.718723598541402e-06,3.198915958268553e-06,4.426179272177154e-06
-8.921138709311078e-06,-1.3194518328161612e-05,-4.358398831138016e-07
-6.070980416340958e-06,-9.319066904285169e-06,4.632981768298617e-06
1.346547998445393e-05,1.9662224248714164e-06,-2.024653827855057e-07
6.86578440191234e-06,1.5083366152136606e-06,5.330190350927179e-07
1.5851032935985002e-05,2.0290710005085185e-05,-1.2565096259104594e-07
1.0446131280652515e-05,1.8743621699465895e-05,-4.793690406743623e-07
-2.6576467242441584e-06,6.818509877542049e-07,-1.931050114841478e-07
-1.5645254446320367e-06,-1.22084906796147e-07,1.7534870760532449e-06
8.679357151018426e-07,1.183364276678561e-06,-1.3212589136647175e-07
-4.626284329135251e-07,-6.790644949822524e-07,7.559733190604589e-07
-3.3412404002087516e-06,-1.0251689779364016e-05,-5.577664073751945e-07
-2.335586740933477e-06,-4.661384101756675e-06,7.783067252319892e-06
-9.731010560613221e-06,-7.025253110857829e-07,-8.4490391804361e-07
-1.0215101606031068e-06,1.0307630684085756e-05,1.2915780059215673e-05
1.5322477665636125e-06,1.065301743102444e-06,-4.854686307985896e-07
2.757205348191957e-06,4.821587974631999e-06,5.874221733469113e-06
-1.2236624100854337e-06,-3.720791476745349e-06,-5.402816526689359e-07
3.9037328373487103e-07,1.8346067721783354e-06,6.208486823790727e-06
-1.3848282606031123e-06,7.068508531642235e-07,-4.017209898083915e-08
-7.463926885852722e-06,-2.988042971533773e-06,-9.845379415910913e-07
